"GeneID","Control_1","Control_2","Control_3","Riesgo_nut_1","Riesgo_nut_2","Riesgo_nut_3"
431704,0,0,0,0,0,0
105371265,0,0,0,0,0,0
101928595,82,69,60,148,282,147
9978,877,1066,147,1175,721,1153
92342,186,366,38,172,137,170
101928832,0,0,0,0,0,1
84103,0,0,0,0,0,0
100529207,290,463,324,412,238,355
22828,242,565,450,377,275,359
55253,162,313,251,243,151,306
79789,179,180,213,582,256,349
11176,220,532,1445,501,519,611
105377651,1,0,0,2,6,1
105376781,11,9,106,13,15,13
220,1,2,1,1,2,1
100189179,0,0,0,0,0,0
101928570,1,0,0,0,0,0
105369914,7,4,0,8,3,0
407017,0,0,2,0,0,0
6019,16,31,11,14,16,15
100129781,0,4,1,0,0,1
105371031,0,0,0,0,0,0
9636,4894,1204,1960,574,966,575
101927000,0,0,1,0,0,0
100113381,8,13,8,3,3,2
56906,2,0,0,1,1,5
10111,476,982,297,672,666,794
8899,1406,2563,681,1169,800,824
2066,0,0,0,0,0,0
115704,33,72,326,28,41,116
55343,58,112,448,87,77,235
102723576,0,0,0,0,0,0
105376422,0,0,0,2,0,0
105377255,0,0,0,0,0,0
4792,455,802,751,649,548,710
105378522,0,0,0,0,0,0
5689,877,1611,939,1852,1220,1569
101927431,0,0,0,0,0,0
105370958,0,0,0,0,0,0
51109,374,708,381,741,496,984
101928154,0,0,0,2,0,0
105375334,0,1,0,0,1,0
200539,10,41,62,15,16,24
100192426,0,0,0,0,0,0
105375547,23,12,8,45,20,34
283521,39,62,74,36,68,43
56995,123,336,138,140,118,198
105379712,0,0,0,0,0,0
101929538,3,2,7,18,4,40
105369919,0,0,0,0,0,0
574491,0,0,0,0,0,0
221935,1,10,14,10,2,9
10247,86,138,21,89,47,72
107986482,7,2,0,42,21,2
55011,265,674,1168,353,359,820
8237,62,230,927,52,91,348
442911,0,0,0,0,0,0
2669,0,0,2,0,0,1
81871,0,0,0,0,0,0
105372935,24,4,3,2,6,5
253738,3,3,5,4,1,4
400566,10,3,46,21,3,35
105373043,2,7,2,2,4,4
284454,171,207,491,202,203,190
105376197,0,0,0,0,0,0
105379119,0,0,0,0,0,0
392197,0,0,0,0,0,0
102465841,0,0,9,1,0,1
9358,1,0,0,0,0,0
107987299,7,13,25,11,9,20
105370790,0,0,0,0,0,1
285016,2,7,1,0,0,0
100289410,9,12,11,5,2,7
101927325,3,7,22,6,5,9
100132813,0,1,0,0,0,0
280655,2,3,2,4,4,4
105379550,0,0,0,0,0,0
5241,0,0,0,0,0,0
30827,246,581,1665,314,427,886
26869,0,0,0,0,1,0
167359,1,1,3,0,0,6
9501,8,7,76,26,9,19
952,436,986,768,276,467,593
101410536,0,0,0,0,0,0
283483,0,0,0,0,0,0
107986780,0,0,0,0,0,0
10752,4,7,1,3,5,4
100500913,0,0,0,0,1,0
101928216,0,0,0,0,0,1
3858,60,128,309,196,111,215
100616391,0,0,0,0,0,0
9772,87,229,892,110,111,320
400553,0,1,1,1,2,1
9804,934,1856,585,1316,973,1238
2056,0,0,0,0,1,0
102723948,0,0,0,0,0,0
29956,631,1294,1664,999,741,1496
353135,0,0,0,0,0,0
105376157,0,0,0,0,0,0
23558,931,915,3508,1374,1130,2048
26355,254,503,246,289,322,406
107986699,0,4,3,2,0,1
105369798,0,0,0,0,0,0
400128,0,0,1,0,0,0
693165,0,0,0,0,0,0
1397,51,178,637,47,60,53
107986683,0,0,0,0,0,0
107984235,0,0,0,0,0,0
348378,73,181,225,94,175,260
107985085,0,1,0,0,0,0
10068,43,89,182,41,47,152
105379475,0,0,0,0,0,0
85015,102,297,71,114,81,84
107984011,1,0,0,2,0,1
8838,18,24,6,9,5,7
138151,175,178,269,725,248,256
50640,570,1133,136,530,293,312
107986008,0,0,3,0,1,3
285550,504,623,106,1066,447,347
107987390,0,0,0,0,0,0
283820,81,130,606,182,164,408
728378,0,0,0,0,0,1
8774,370,643,119,401,235,283
105374985,47,52,20,176,241,692
399827,0,0,0,0,0,0
107985189,1,4,8,1,5,2
105378569,0,0,0,0,0,0
79024,0,0,0,2,0,6
7122,15,20,55,34,43,141
107984982,0,0,0,0,0,0
23194,0,0,1,0,0,0
3028,210,592,898,460,426,640
102724122,0,0,0,0,0,0
4535,31808,40645,30469,81438,82315,90745
120406,1,0,1,2,3,0
107987362,1,2,1,1,3,0
7401,0,0,0,1,3,0
25989,283,890,1000,343,385,762
105378976,0,2,5,4,3,3
107986980,0,0,1,3,0,0
735301,18,31,14,28,44,24
284593,0,0,1,1,0,0
107986104,0,0,0,0,0,0
307,158,377,429,301,260,372
105372897,0,0,0,0,0,0
338785,1,0,1,0,0,4
150465,121,249,196,196,127,172
54660,0,0,0,0,0,0
105372146,0,0,5,1,4,2
57010,6,19,69,11,7,7
285103,0,0,0,0,0,0
105370342,0,0,0,0,0,0
5066,138,210,113,109,74,182
105369756,0,0,0,0,0,0
7203,1004,2367,3015,1406,1228,2788
101928334,0,2,0,0,0,0
101929025,0,0,1,0,0,1
90865,2,0,0,0,0,0
150538,0,0,0,0,0,0
401497,0,0,0,0,0,0
387914,1,11,1,1,2,3
221336,3,3,4,2,0,1
50945,0,0,0,0,0,0
26819,15,46,32,19,23,29
149483,58,38,69,76,79,58
105375047,1,0,3,0,0,0
6638,246,478,664,344,308,601
105378734,0,0,0,0,0,0
350,0,0,0,0,0,0
390323,0,0,0,0,0,0
105377439,0,0,0,0,0,0
89801,57,222,300,73,77,162
105373430,1,7,0,0,3,1
10840,0,0,1,0,0,0
256364,181,425,2378,311,373,913
51205,42,109,150,96,38,121
9937,84,211,41,63,55,251
105369909,0,0,0,0,0,0
1286,12,21,22,8,18,16
9213,266,485,170,354,187,251
101929162,15,32,35,23,13,15
677794,0,0,0,0,0,0
105376489,0,0,0,0,0,0
105375115,0,0,0,0,0,0
105370679,0,1,0,0,0,1
107984009,0,0,0,0,0,0
100144595,0,0,0,0,0,0
653689,1,1,0,0,0,0
10472,649,1242,626,685,449,554
6330,0,0,1,0,0,0
28922,9,25,9,17,39,25
105377581,0,0,0,0,0,0
105379149,0,0,0,0,0,0
100128682,12,4,1,23,37,4
442425,0,0,0,0,0,0
101928128,0,0,0,0,0,0
2979,9,15,89,25,19,27
2935,3094,2638,1619,1609,1956,2094
105416157,4,9,7,5,3,7
100313887,4,11,3,2,0,3
105379301,0,1,0,0,3,0
105374426,4,0,0,7,2,3
406964,0,0,0,0,0,0
7857,0,4,0,0,0,0
107984539,1,4,6,2,3,5
105375850,0,0,0,0,0,0
105369954,0,1,0,0,0,2
146059,57,103,371,71,63,130
339318,155,418,43,101,59,101
100996930,0,1,0,0,0,2
100506022,1,0,0,1,0,4
1230,1718,684,745,1810,762,768
105378827,0,0,1,2,0,0
4714,473,941,1480,983,837,1079
105378585,0,0,0,0,0,1
84570,1,3,2,0,0,1
100101116,0,0,0,0,0,0
100170220,0,0,0,0,0,0
10575,966,2131,1714,1479,1272,1783
100506302,55,67,60,52,57,65
107985898,2,2,3,1,1,5
440456,129,290,387,171,160,206
107986602,0,0,0,0,0,0
105375418,0,0,0,0,0,0
6774,435,514,2264,1451,991,1249
8999,2,1,4,1,0,1
105370593,0,0,0,0,0,0
105377793,0,0,0,0,0,0
105370508,0,0,0,0,0,0
23035,60,132,66,37,42,48
8613,5,14,11,10,1,4
1471,2171,1682,3758,4853,2146,3893
1444,0,0,0,0,0,0
55745,838,1370,272,626,317,459
107987008,0,0,0,0,0,0
54212,0,0,0,0,0,0
91,44,72,205,75,28,91
25802,2,3,5,0,1,4
54752,4,11,25,3,4,9
768211,244,398,189,418,258,310
101928351,0,0,0,0,0,0
727699,0,0,0,0,0,0
100132987,0,0,0,0,0,1
107985798,0,0,0,0,0,0
100169755,0,0,0,0,0,0
101927202,12,44,28,9,23,23
151484,1,1,1,0,1,0
3693,49,45,202,152,106,372
107986952,0,0,0,0,0,0
105376882,0,5,0,0,1,5
3273,0,0,0,0,0,0
1544,0,0,0,0,0,0
54946,96,267,391,119,122,249
2327,1,0,1,0,1,1
102465521,0,0,2,0,0,1
105375776,0,0,0,0,0,0
105377207,0,0,0,0,0,0
4318,65,27,49,687,213,218
101929321,0,0,0,0,0,0
26145,54,145,517,64,73,211
105377362,0,0,0,0,0,1
54932,21,63,126,45,55,104
105375167,0,0,0,0,0,0
23051,15,61,205,30,37,88
79720,186,410,1301,505,548,725
105372574,0,0,0,0,0,0
653067,1,0,0,1,0,0
100131801,261,250,208,717,478,307
200420,0,0,3,2,0,0
105373061,0,0,0,0,0,0
102724197,0,0,0,0,0,0
284366,0,0,0,0,0,0
105378512,20,44,15,23,18,25
105371605,1,3,0,1,5,3
105379514,0,0,0,0,0,0
105375087,0,0,0,0,0,0
158960,10,23,15,29,15,26
6550,73,214,152,68,57,129
105378849,0,0,0,0,0,0
100500895,1,2,3,5,8,8
145200,10,20,2,30,18,4
106635539,3,6,4,7,5,10
55291,1197,2096,642,1474,994,1172
105376479,0,0,0,0,0,0
8819,57,71,34,60,30,57
163590,348,657,393,544,351,438
107985806,0,0,0,0,0,0
406993,0,0,0,0,0,0
105376753,0,1,3,1,0,1
101410542,0,0,0,0,0,0
3985,530,530,1320,1129,780,513
285205,0,0,0,0,0,0
6368,31,13,8,0,3,32
3078,0,1,0,0,0,0
10221,279,310,114,569,353,240
23065,112,251,344,152,163,282
102465871,2,7,11,1,10,10
114655,0,0,0,0,0,0
23060,84,190,616,169,124,276
401312,0,6,1,3,1,0
28649,0,2,1,1,0,0
105370246,0,0,0,0,0,0
90226,0,0,0,1,0,0
441525,0,0,0,1,0,3
105371932,42,95,66,38,33,67
138948,15,48,316,26,11,56
26276,88,184,336,141,106,236
9986,71,213,278,102,117,191
25759,0,0,9,1,2,1
6461,6,3,16,3,1,8
100289373,6,14,8,13,17,12
153,1,3,13,3,5,2
23594,14,31,11,19,19,15
101927745,1,1,0,0,0,4
102723316,0,0,0,0,1,0
101929106,0,0,0,0,0,0
63935,153,369,1421,263,285,702
107985500,0,0,0,0,0,0
780776,72,162,201,130,116,184
2864,0,1,3,0,0,1
727856,12,11,9,38,14,55
105378649,5,12,13,2,2,9
406896,1,0,1,1,1,0
100506422,0,0,0,0,0,0
26266,6,9,48,9,7,22
101927233,4,6,9,6,3,0
105369791,0,0,0,0,0,0
100287045,0,0,0,0,0,0
107985485,1,1,4,1,1,2
107985748,0,0,0,0,0,0
107987182,0,0,0,0,0,0
105379110,0,0,0,0,0,0
105370625,0,1,1,1,0,1
116447,84,169,370,116,103,264
105378935,1,0,0,0,0,0
84152,1,0,1,0,0,2
5903,918,1730,488,1014,563,779
1181,6,25,45,14,7,23
6954,0,0,0,0,0,1
101059948,0,0,0,0,0,0
105377815,0,0,0,0,0,0
673,489,841,266,493,314,425
162,157,550,2031,281,273,869
107986682,0,0,0,0,0,0
105378424,0,0,0,0,0,0
101928226,2,0,0,1,0,0
150274,82,159,90,118,86,120
23753,69,214,294,171,228,189
102724801,0,0,0,0,0,0
105376195,0,0,0,0,0,0
105375841,0,0,0,0,0,0
145581,0,1,0,0,0,0
107984674,0,0,0,0,0,0
105374394,0,0,0,0,0,0
107987178,0,0,0,0,2,0
8936,20,61,48,22,16,39
9096,0,0,0,0,0,0
693177,0,0,0,0,0,0
100170221,0,0,0,0,0,0
4686,439,971,401,467,331,460
60686,118,239,364,260,193,296
393,1374,3096,7794,2917,2684,5372
102724474,0,1,0,0,0,0
619208,11,20,7,11,11,19
10141,0,0,0,0,0,0
100422847,0,0,0,0,0,0
100874190,0,2,0,1,0,0
401242,0,0,0,0,0,1
100775107,35,101,110,15,22,48
6049,461,782,151,300,168,281
55325,230,388,201,252,209,323
105372566,1,0,1,0,0,0
84939,107,299,489,159,125,287
1346,0,0,1,0,1,0
100189011,2,2,0,1,0,0
441208,2,1,5,2,1,0
112703,18,39,108,28,14,40
246286,0,0,1,0,0,0
9338,73,148,37,67,41,63
84614,292,641,420,341,180,211
101929347,0,0,0,0,0,0
105378565,0,0,0,0,0,0
440307,1,6,6,2,1,1
105376040,0,0,0,0,0,0
105371608,0,0,0,0,0,1
100500888,3,20,77,7,7,33
55052,337,652,489,598,418,631
23601,69,78,36,102,59,51
8228,40,123,100,69,84,94
285513,544,1029,259,451,264,333
729967,15,32,6,35,22,22
105372948,1,3,2,0,2,1
105372730,0,0,0,0,0,0
100861545,0,0,0,0,0,0
107987053,0,2,0,0,0,1
284751,9,5,6,60,34,10
84245,180,512,503,146,128,204
7769,314,669,111,353,301,328
22931,1082,1773,187,1721,671,618
105372990,0,2,6,0,6,7
107984999,0,2,0,0,0,0
105372738,0,0,0,0,0,0
107986178,2,4,3,7,2,2
100616417,0,0,2,1,0,1
112268096,0,1,1,0,0,0
101927610,11,41,5,18,19,18
105377061,0,0,0,0,0,0
105379327,17,9,13,5,13,6
388695,66,114,135,116,140,165
283237,222,323,313,261,174,272
2784,0,3,4,2,3,7
2254,2,1,0,2,1,2
105371880,0,0,0,1,0,0
2849,0,0,0,0,0,0
731157,0,1,0,0,0,0
3812,4,11,23,1,9,75
283854,0,0,0,0,0,0
105375582,0,0,0,0,0,0
390999,0,0,0,0,0,0
101928169,0,0,0,0,0,0
147007,188,364,431,254,225,316
105371853,0,0,0,0,0,0
100288152,7,21,86,23,16,40
100423035,0,0,0,0,0,1
105376356,0,0,0,0,0,0
9203,52,182,443,79,89,243
153770,3,9,4,8,12,10
102724551,0,0,0,0,0,0
107984040,0,0,1,0,0,2
101060017,0,0,0,0,0,0
105374901,0,0,0,0,0,0
9069,16,25,2,7,3,7
283446,4,14,8,1,4,6
107987240,0,0,2,3,2,1
10734,51,85,262,55,84,105
105375318,0,0,0,0,0,0
105371970,3,6,0,1,1,0
105374660,0,0,0,0,0,0
105378408,3,1,2,0,2,4
58475,2463,1529,300,1321,482,369
6990,298,502,30,194,109,132
151171,0,0,0,0,0,0
107984801,0,0,0,0,0,0
107984205,0,0,0,0,2,0
100189343,0,0,0,0,0,0
84941,1378,1349,2560,631,1130,1698
10650,2,6,14,1,0,9
105371030,0,3,5,2,1,4
107986977,0,0,0,0,0,0
107986107,0,0,0,1,0,0
105374063,9,4,2,5,3,4
105374945,0,0,0,0,0,0
407000,0,0,0,0,0,0
100616150,0,0,0,0,2,0
100271715,5,5,1,5,1,3
107984627,0,0,0,0,0,0
105377105,10,21,93,7,10,37
101669762,0,0,1,0,0,0
100616276,1,8,82,1,7,12
100847018,0,0,0,0,0,0
9025,61,113,205,86,77,185
100189155,0,0,0,0,0,0
105375315,0,0,0,0,0,0
105372770,0,0,1,1,1,1
81556,136,379,484,198,175,387
1607,0,0,0,0,0,0
28473,33,198,11,22,192,235
107984442,0,1,2,0,0,0
387319,0,0,0,0,0,0
105378656,0,0,1,0,0,0
83660,1,3,8,4,3,4
105378666,0,0,0,0,0,0
26153,0,0,5,0,0,1
5134,693,1298,564,765,625,816
390502,2,0,1,0,0,0
105379752,0,11,12,7,17,26
107986709,0,0,0,0,0,1
85464,1339,1616,1610,3590,2065,1993
8771,6,13,25,7,10,14
360,101,316,917,108,103,315
728498,61,40,20,53,19,14
3235,0,0,0,0,0,0
105370343,0,0,0,0,0,0
107984271,14,15,7,13,12,31
105376136,3,5,5,1,5,3
105378404,0,0,0,0,0,0
100616116,2,7,6,1,2,2
6880,566,1039,109,728,549,565
10390,1408,3163,534,1465,1079,1223
112268091,2,4,0,0,0,1
692149,0,1,0,0,0,0
101927410,0,0,0,0,0,0
100507600,25,29,13,0,0,12
105377003,0,0,0,0,0,0
102723910,0,0,0,0,0,0
107984385,0,0,0,0,0,0
7626,211,402,153,151,102,137
28903,56,115,45,60,361,172
56106,0,1,1,0,0,0
101929331,7,12,7,47,21,24
53836,0,0,0,1,0,0
8707,6,20,1,7,5,7
107986053,0,0,0,0,0,0
432,93,54,74,308,90,117
105370301,0,0,0,0,0,0
51501,356,473,251,464,276,369
256979,1,1,2,3,1,3
107985412,0,0,0,0,0,0
105374879,0,0,0,0,0,0
3998,769,1469,282,417,490,566
155,0,0,0,0,0,0
107985836,0,0,0,0,0,0
105370079,0,0,0,0,0,0
495,0,0,1,0,0,0
57111,4,3,10,6,2,9
28679,0,0,0,0,0,0
729246,0,0,0,0,0,0
158435,0,0,0,0,1,0
105369305,0,0,0,0,0,0
340515,0,0,0,0,1,0
100134015,9,13,72,4,10,26
3767,0,1,6,0,0,0
6280,58570,20825,5537,451511,149154,43429
105373623,0,0,0,0,0,1
100507506,1,2,0,0,1,2
7130,1142,270,54,264,340,81
105374369,2,1,1,3,1,3
56342,55,150,508,69,77,199
768215,0,0,0,0,0,0
89910,144,272,517,218,150,239
143282,10,41,35,19,13,19
102725068,42,49,48,31,29,59
9093,138,317,590,121,98,303
105378612,0,0,0,0,0,0
729614,80,160,57,138,79,95
9924,160,414,702,207,203,384
361,0,1,0,0,0,0
28727,0,1,1,0,1,0
1733,0,1,4,3,3,0
56270,220,473,449,176,145,258
100423040,0,0,0,0,0,0
51090,18,36,92,12,19,28
107986929,17,6,14,29,29,10
388336,0,0,0,0,0,0
84948,29,76,263,43,58,94
105374786,0,0,0,0,0,0
6490,7,9,73,4,5,11
6701,0,0,0,0,0,0
105376642,0,0,0,0,0,0
374875,21,30,47,19,16,22
107985259,2,4,2,4,3,2
11152,737,966,1405,875,791,979
105372317,0,0,0,0,0,0
105376786,15,8,6,54,36,8
368,9,13,15,33,24,35
60672,345,443,750,530,403,536
400212,1,1,0,3,0,0
107985139,24,48,32,19,7,11
101929057,11,14,26,4,4,8
105378452,0,2,1,2,4,2
56889,1573,2805,515,1602,1088,1239
8687,0,0,0,0,0,0
6487,28,65,218,95,62,123
107986715,0,3,0,1,0,0
6256,399,385,2237,988,524,729
105374802,0,0,0,0,0,0
105373148,8,2,5,2,2,1
219952,0,0,0,0,0,0
105375176,0,2,0,2,3,2
10677,105,59,114,180,146,63
64151,89,162,26,152,132,92
100288077,1,1,0,2,0,1
550113,0,1,0,0,0,0
28565,0,0,0,0,0,0
100874156,0,0,0,0,0,0
102465248,4,9,8,8,4,15
85569,0,0,0,0,0,0
101930048,0,0,0,0,0,0
107985434,0,0,0,0,0,0
28761,0,0,0,0,1,0
105373610,0,0,0,0,0,0
100506746,7,15,8,10,19,15
103752589,0,0,4,9,7,5
102723167,1,2,0,0,3,0
8437,28,108,203,57,64,128
55258,1,3,25,19,1,4
105370912,0,0,0,0,0,0
3645,0,0,0,0,0,0
105374659,0,0,0,0,0,0
5774,0,2,5,0,0,0
137994,75,95,72,163,96,102
100500914,0,0,1,0,0,0
26851,0,1,0,0,0,0
11199,2,3,0,0,0,0
285962,16,26,9,21,24,24
253582,0,0,0,0,4,0
503693,9,6,5,10,12,8
105371642,0,0,0,0,0,0
164633,37,66,96,86,52,61
105372572,1,0,0,0,0,0
100422867,0,0,0,0,0,0
101928004,15,14,20,19,20,13
112268168,0,0,0,1,2,2
106660613,9,22,32,3,11,10
91050,19,23,44,79,44,58
124454,79,159,239,99,104,159
728358,117,79,202,99,41,184
345651,0,0,0,0,0,0
105377560,0,0,0,0,0,0
105447648,0,0,0,0,0,0
105377290,0,0,0,0,0,0
29911,25,62,189,97,75,99
105373218,3,4,8,4,11,5
54753,23,99,174,15,48,96
105375704,0,0,0,0,0,0
55856,426,640,238,628,409,460
7328,560,623,1477,593,432,960
112268261,15,55,135,25,32,108
105370924,0,0,0,0,0,0
100616237,0,0,0,0,0,0
105377790,0,0,0,0,0,0
25878,0,0,0,0,0,0
51480,0,0,0,0,0,0
25928,0,0,0,0,0,0
728637,5,4,2,6,2,2
6204,5618,12745,2041,9245,9235,9403
6871,115,236,233,132,101,170
252954,0,0,0,0,0,0
114899,41,110,31,50,41,81
22871,1,0,0,1,0,1
199870,147,328,152,161,130,142
103021164,1,1,1,1,0,1
107984649,3,0,0,0,0,0
105370324,0,0,0,0,0,0
5284,1,2,4,1,0,4
22937,201,499,1785,319,416,795
84795,53,70,207,43,43,108
8559,328,545,186,349,197,309
85369,110,290,604,99,90,237
55384,0,0,6,0,0,3
101927089,0,0,0,1,0,0
105369591,0,0,0,0,0,0
105375081,0,0,0,0,0,1
100132154,0,3,0,1,0,2
84733,3,17,83,13,1,25
107986678,0,0,0,0,0,0
2152,0,0,0,1,0,0
105378118,0,0,0,0,0,0
105378860,0,0,0,0,0,0
8857,40,155,1504,42,50,157
23389,540,763,314,922,511,436
102723967,0,0,0,0,0,0
100861507,0,0,0,0,0,0
101928845,0,0,0,0,0,0
23367,92,327,1015,161,111,380
100874296,0,0,0,0,0,0
112268433,0,0,0,0,0,0
400123,1,1,0,0,0,0
56172,349,469,1439,242,170,364
84898,702,513,323,1834,834,770
10202,1,0,0,0,0,1
5217,29,32,14,23,14,20
49855,146,412,144,236,255,220
102466268,0,0,0,0,0,0
107984748,0,2,4,1,1,0
101929565,0,1,0,0,0,0
10381,11,78,63,7,6,11
101928846,3,7,5,6,11,7
100652853,8,14,11,10,15,13
57129,330,567,61,581,359,402
23648,186,267,1195,208,254,722
26578,1180,1329,1371,2337,1188,1686
100302232,1,2,2,2,1,2
344875,0,1,0,0,0,0
53828,1,0,1,0,1,0
100302234,0,0,0,0,0,0
107985396,0,0,0,0,0,0
10944,1721,3049,819,1410,991,1405
100302203,0,0,0,0,0,0
105379537,0,0,0,0,0,0
28568,81,121,638,80,91,374
100133204,41,37,13,52,29,21
168620,5,14,27,2,24,22
64837,27,67,305,30,39,127
29970,2,1,0,2,0,0
148581,0,0,0,0,0,0
84197,6,5,3,1,3,3
101929574,5,11,4,4,5,5
100996732,0,1,1,1,0,1
6911,8,8,34,6,13,31
102723727,0,2,1,1,0,0
101927229,0,0,0,0,0,0
105379073,0,1,0,0,0,0
389123,0,0,0,0,0,0
3692,388,668,1384,666,619,1175
28357,0,0,0,0,0,0
64792,10,80,68,44,41,69
221662,0,0,0,0,0,0
79345,0,0,0,0,0,0
101929983,0,0,0,0,0,0
100422932,0,0,0,0,0,0
30846,0,1,1,1,0,1
728927,181,469,125,117,91,97
100506563,0,0,0,1,0,0
102723451,3,16,7,4,2,1
112267965,18,39,7,15,17,21
105374839,0,0,0,0,0,0
132851,0,0,0,0,0,0
8673,1108,1889,965,2410,1401,1637
107984505,1,8,1,3,3,3
84627,7,10,91,10,7,14
678,2313,3768,1639,2888,2276,2226
101927655,95,164,555,206,182,345
100422844,0,0,0,0,0,0
102724874,0,0,0,0,0,0
102465492,2,5,2,1,2,0
107984641,1,0,1,0,1,0
5187,24,52,298,21,29,114
79970,156,438,585,250,288,458
107987384,0,0,0,0,0,0
105376850,0,0,0,0,0,0
105369976,0,0,0,0,0,0
57728,143,229,129,125,93,128
84958,656,1498,3404,1076,1142,2029
54785,175,344,606,291,252,421
10137,436,939,879,570,431,677
100507470,0,0,0,0,0,0
107987238,4,6,16,4,2,7
149076,50,127,528,97,74,217
474152,0,0,0,0,0,0
26035,193,336,74,267,76,97
170589,0,6,7,0,0,2
105370060,0,0,0,0,0,0
284004,326,675,1269,463,687,829
105370223,0,0,0,0,0,0
406910,0,0,0,0,0,0
107986718,0,0,0,0,0,0
403239,0,0,0,0,0,0
6905,164,290,97,225,146,246
53940,0,0,0,0,0,0
105369350,3,1,0,0,0,1
105379311,0,0,0,0,0,0
100652781,16,119,51,26,34,65
102465501,4,13,6,7,6,8
823,237,527,2750,451,300,1125
151174,8,15,19,2,5,15
148709,4,9,2,4,2,6
728137,0,0,0,0,0,0
100996648,0,0,0,0,0,0
79643,130,284,689,288,205,492
7060,15,42,50,13,13,22
107984275,2,10,8,5,2,3
105378355,0,0,0,0,0,0
407037,0,0,0,0,0,2
105377229,0,0,0,0,0,0
101926926,1,1,0,0,0,0
83549,159,396,438,340,278,391
100506514,0,1,0,0,0,0
728658,3590,9172,1068,5531,5342,6282
404550,61,318,201,134,160,172
339344,25,59,146,57,46,92
101867536,14,29,16,7,8,16
100316904,135,300,971,267,331,634
105376595,0,0,0,0,0,0
105378208,0,0,0,0,0,0
11138,142,177,146,248,91,138
55653,68,212,195,53,118,232
4225,1,3,1,1,0,0
1195,3987,8805,564,1759,771,1053
84057,11,19,2,29,9,15
100189178,0,0,0,0,0,0
57630,15,14,5,17,13,11
105370610,0,0,0,0,0,0
729461,0,0,0,0,0,0
10384,878,1549,1913,802,961,1126
135886,0,0,0,0,0,0
6124,27550,75630,17997,40490,36069,53673
3189,1187,1536,886,1576,943,1102
105372449,1,1,5,0,0,0
283933,0,0,0,0,0,0
100288142,162,272,241,294,203,249
101927142,0,0,0,0,0,0
347694,0,0,0,0,0,0
4589,0,0,0,0,0,0
100286925,16,33,43,24,10,20
105370109,0,0,0,0,0,0
107986068,0,0,0,0,0,0
84960,12,29,65,10,12,21
339975,1,0,3,8,0,1
100189273,0,0,0,0,0,0
85509,0,0,0,0,0,0
79080,30,106,341,33,41,147
102724814,157,379,1017,277,310,714
646127,5,21,26,11,10,9
1909,0,0,0,0,0,0
10501,1,4,4,11,5,2
105378991,5,8,2,3,2,4
105371649,1,0,1,6,16,3
124935,204,314,1346,684,497,866
339766,0,0,0,0,1,2
92154,4,19,92,11,2,38
4695,325,414,223,539,365,385
105375871,0,0,0,0,0,0
84141,6,5,6,4,0,5
64129,1,0,0,0,0,1
4796,17,56,150,30,32,88
8641,0,1,1,0,0,0
101929685,0,0,0,0,0,0
